"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Guy Pearce;Actor, Soundtrack;1967-10-05;UK;NA
Carrie-Anne Moss;Actress, Producer;1967-08-21;Canada;NA
Joe Pantoliano;Actor, Producer, Director;1951-09-12;USA;NA
Mark Boone Junior;Actor, Producer, Soundtrack;1955-03-17;USA;NA
Russ Fega;Miscellaneous Crew, Actor;NA;NA;NA
Jorja Fox;Actress, Producer, Soundtrack;1968-07-07;USA;NA
Stephen Tobolowsky;Actor, Writer, Soundtrack;1951-05-30;USA;NA
Harriet Sansom Harris;Actress, Soundtrack;1955-01-08;USA;NA
Thomas Lennon;Actor, Writer, Producer;1970-08-09;USA;NA
Callum Keith Rennie;Actor, Producer, Soundtrack;1960-09-14;UK;NA
Kimberly Campbell;Actress;NA;NA;NA
Marianne Muellerleile;Actress;1948-11-26;USA;NA
Larry Holden;Actor, Director, Producer;1961-05-15;UK;2011-02-13
Buzz Visconti;Miscellaneous Crew, Actor;NA;NA;NA
